EC1,EC2,EC3,EC4,EC5,EC6
17;18;25;25;28;29;44;44;,18;18;19;3;37;44;8;,26;28;31;39;39;44;44;,17;18;28;29;3;39;44;44;5;,17;20;25;25;39;44;,
17;19;19;22;28;29;3;44;,18;18;25;37;44;44;8;,26;28;31;39;44;44;44;,17;18;28;29;3;39;44;5;5;,17;20;25;39;44;44;,
17;19;19;22;28;29;44;44;,18;18;25;3;37;44;8;,26;28;39;39;39;44;44;,17;18;28;29;3;3;39;44;44;,17;25;25;25;39;44;,
17;19;19;26;28;29;3;44;,17;18;19;29;29;3;3;44;,26;28;39;39;44;44;44;,17;18;28;29;3;3;39;44;5;,17;25;25;39;44;44;,
17;19;19;26;28;29;44;44;,17;18;19;29;29;3;44;44;,18;31;36;39;,17;18;28;29;3;3;3;39;44;,17;25;39;44;44;44;,
17;19;20;22;28;29;3;44;,17;18;19;29;29;44;44;44;,18;31;36;44;,17;18;28;29;3;3;3;40;44;,19;19;19;25;39;44;,
17;19;20;22;28;29;44;44;,18;19;19;29;29;3;3;44;,18;34;36;39;,17;18;28;29;3;3;40;44;44;,19;19;20;25;39;44;,
17;19;20;26;28;29;3;44;,18;19;19;29;29;3;44;44;,18;34;36;44;,17;18;28;29;3;3;40;44;5;,19;19;25;25;39;44;,
17;19;20;26;28;29;44;44;,18;19;19;29;29;44;44;44;,26;31;36;39;,17;18;28;29;3;40;44;44;44;,19;19;25;39;44;44;,
17;19;22;25;28;29;3;44;,18;19;20;29;29;3;3;44;,26;31;36;44;,17;18;28;29;3;40;44;44;5;,19;20;20;25;39;44;,
17;19;22;25;28;29;44;44;,18;19;20;29;29;3;44;44;,26;34;36;39;,17;18;28;29;3;40;44;5;5;,19;20;25;25;39;44;,
17;19;25;26;28;29;3;44;,18;19;20;29;29;44;44;44;,26;34;36;44;,18;19;28;29;3;39;44;44;44;,19;20;25;39;44;44;,
17;19;25;26;28;29;44;44;,18;18;25;28;3;3;44;8;,18;28;31;39;,18;19;28;29;3;39;44;44;5;,19;25;25;25;39;44;,
17;20;20;22;28;29;3;44;,18;18;25;28;3;44;44;8;,18;28;31;44;,18;19;28;29;3;39;44;5;5;,19;25;25;39;44;44;,
17;20;20;22;28;29;44;44;,18;18;25;28;44;44;44;8;,18;28;34;39;,18;19;28;29;3;3;39;44;44;,19;25;39;44;44;44;,
17;20;20;26;28;29;3;44;,18;22;25;28;3;3;44;8;,18;28;34;44;,18;19;28;29;3;3;39;44;5;,20;20;20;25;39;44;,
17;20;20;26;28;29;44;44;,18;22;25;28;3;44;44;8;,26;28;31;39;,18;19;28;29;3;3;3;39;44;,20;20;25;25;39;44;,
17;20;22;25;28;29;3;44;,18;22;25;28;44;44;44;8;,26;28;31;44;,18;19;28;29;3;3;3;40;44;,20;20;25;39;44;44;,
17;20;22;25;28;29;44;44;,18;25;26;28;3;3;44;8;,26;28;34;39;,18;19;28;29;3;3;40;44;44;,20;25;25;25;39;44;,
17;20;25;26;28;29;3;44;,18;25;26;28;3;44;44;8;,26;28;34;44;,18;19;28;29;3;3;40;44;5;,20;25;25;39;44;44;,
17;20;25;26;28;29;44;44;,18;25;26;28;44;44;44;8;,18;26;29;44;,18;19;28;29;3;40;44;44;44;,20;25;39;44;44;44;,
17;22;25;25;28;29;3;44;,18;18;25;28;28;3;3;44;8;,18;29;31;44;,18;19;28;29;3;40;44;44;5;,17;17;17;19;39;44;,
17;22;25;25;28;29;44;44;,18;22;25;28;28;3;3;44;8;,18;29;37;44;,18;19;28;29;3;40;44;5;5;,17;17;19;19;39;44;,
17;25;25;26;28;29;3;44;,18;22;25;28;28;3;44;44;8;,19;26;29;44;,18;20;28;29;3;39;44;44;44;,17;17;19;20;39;44;,
17;25;25;26;28;29;44;44;,18;22;25;28;28;44;44;44;8;,19;29;31;44;,18;20;28;29;3;39;44;44;5;,17;17;19;39;44;44;,
18;19;19;20;28;29;3;44;,18;25;26;28;28;3;3;44;8;,19;29;37;44;,18;20;28;29;3;39;44;5;5;,17;19;19;19;39;44;,
18;19;19;20;28;29;44;44;,17;18;19;28;29;29;3;3;44;44;,18;26;39;,18;20;28;29;3;3;39;44;44;,17;19;19;20;39;44;,
18;19;20;20;28;29;3;44;,17;18;19;28;29;29;3;44;44;44;,18;31;39;,18;20;28;29;3;3;39;44;5;,17;19;19;39;44;44;,
18;19;20;20;28;29;44;44;,17;18;19;28;29;29;44;44;44;44;,18;37;39;,18;20;28;29;3;3;3;39;44;,17;19;20;20;39;44;,
18;19;20;25;28;29;3;44;,18;19;19;28;29;29;3;3;44;44;,19;26;39;,18;20;28;29;3;3;3;40;44;,17;19;20;39;44;44;,
18;19;20;25;28;29;44;44;,18;19;19;28;29;29;3;44;44;44;,19;31;39;,18;20;28;29;3;3;40;44;44;,17;19;39;44;44;44;,
18;20;20;20;28;29;3;44;,18;19;19;28;29;29;44;44;44;44;,19;37;39;,18;20;28;29;3;3;40;44;5;,19;19;19;19;39;44;,
18;20;20;20;28;29;44;44;,18;19;20;28;29;29;3;3;44;44;,18;31;37;,18;20;28;29;3;40;44;44;44;,19;19;19;20;39;44;,
18;20;20;25;28;29;3;44;,18;19;20;28;29;29;3;44;44;44;,18;34;37;,18;20;28;29;3;40;44;44;5;,19;19;19;39;44;44;,
18;20;20;25;28;29;44;44;,18;19;20;28;29;29;44;44;44;44;,18;37;37;,18;20;28;29;3;40;44;5;5;,19;19;20;20;39;44;,
18;20;25;25;28;29;3;44;,18;27;27;27;29;3;3;41;41;44;,26;31;37;,18;18;18;28;3;3;44;,19;19;20;39;44;44;,
18;20;25;25;28;29;44;44;,18;27;27;27;29;3;41;41;44;46;,26;34;37;,18;18;18;28;3;44;44;,19;19;39;44;44;44;,
19;19;20;22;28;29;3;44;,27;27;27;27;29;3;3;41;41;44;,26;37;37;,18;18;18;28;3;4;44;,17;18;26;26;26;29;,
19;19;20;22;28;29;44;44;,27;27;27;27;29;3;41;41;44;46;,26;37;39;,18;18;26;28;3;3;44;,17;17;29;31;44;,
19;19;20;26;28;29;3;44;,27;27;27;29;3;31;41;41;44;46;,17;19;26;28;31;34;44;,18;18;26;28;3;44;44;,17;18;29;31;44;,
19;19;20;26;28;29;44;44;,27;27;27;29;3;34;41;41;44;46;,17;19;26;32;34;,18;18;26;28;3;4;44;,17;19;29;31;44;,
19;20;20;22;28;29;3;44;,27;27;27;29;3;3;31;41;41;44;,17;18;26;28;3;3;31;31;44;44;5;,18;26;26;28;3;3;44;,17;20;29;31;44;,
19;20;20;22;28;29;44;44;,27;27;27;29;3;3;34;41;41;44;,17;18;26;28;3;3;31;39;44;44;5;,18;26;26;28;3;44;44;,17;25;29;31;44;,
19;20;20;26;28;29;3;44;,27;27;27;29;3;3;41;41;44;8;,17;18;26;3;3;34;36;5;,18;26;26;28;3;4;44;,17;26;29;31;44;,
19;20;20;26;28;29;44;44;,27;27;27;29;3;41;41;44;46;8;,17;18;26;3;3;34;37;5;,1;18;18;18;28;3;44;,18;19;29;31;44;,
19;20;22;25;28;29;3;44;,11;3;44;,28;29;3;,1;18;18;26;28;3;44;,18;25;29;31;44;,
19;20;22;25;28;29;44;44;,11;44;46;,3;5;,1;18;26;26;28;3;44;,18;26;29;31;44;,
19;20;25;26;28;29;3;44;,26;3;44;,18;29;37;39;44;,1;26;26;26;28;3;44;,19;19;29;31;44;,
19;20;25;26;28;29;44;44;,26;44;46;,18;29;37;44;62;,26;26;26;28;3;3;44;,19;20;29;31;44;,
20;20;20;22;28;29;3;44;,29;3;44;,18;29;37;44;66;,26;26;26;28;3;44;44;,19;25;29;31;44;,
20;20;20;22;28;29;44;44;,29;44;46;,18;37;43;,26;26;26;28;3;4;44;,19;26;29;31;44;,
20;20;20;26;28;29;3;44;,31;44;46;,19;27;29;41;44;,18;18;18;18;28;28;29;3;3;44;,20;25;29;31;44;,
20;20;20;26;28;29;44;44;,39;44;46;,27;29;41;41;44;,18;18;18;18;28;28;29;3;44;44;,20;26;29;31;44;,
20;20;22;25;28;29;3;44;,3;31;44;,27;29;41;44;44;,18;18;18;18;28;28;29;3;4;44;,17;17;29;39;44;,
20;20;22;25;28;29;44;44;,3;39;44;,19;27;27;29;41;41;,18;18;18;26;28;28;29;3;3;44;,17;18;29;39;44;,
20;20;25;26;28;29;3;44;,18;27;27;27;29;3;41;41;44;44;,19;27;29;29;41;41;,18;18;18;26;28;28;29;3;44;44;,17;19;29;39;44;,
20;20;25;26;28;29;44;44;,27;27;27;27;29;3;41;41;44;44;,27;27;29;41;41;41;,18;18;18;26;28;28;29;3;4;44;,17;20;29;39;44;,
20;22;25;25;28;29;3;44;,27;27;27;29;3;31;41;41;44;44;,27;27;29;41;41;44;,18;18;26;26;28;28;29;3;3;44;,18;18;29;39;44;,
20;22;25;25;28;29;44;44;,27;27;27;29;3;34;41;41;44;44;,27;29;29;41;41;41;,18;18;26;26;28;28;29;3;44;44;,18;19;29;39;44;,
20;25;25;26;28;29;3;44;,27;27;27;29;3;41;41;44;44;8;,27;29;29;41;41;44;,18;18;26;26;28;28;29;3;4;44;,18;20;29;39;44;,
20;25;25;26;28;29;44;44;,11;44;44;,17;18;18;28;28;29;29;29;44;,18;26;26;26;28;28;29;3;3;44;,19;19;29;39;44;,
18;19;19;19;28;29;3;44;,26;44;44;,17;18;18;28;28;29;29;3;44;,18;26;26;26;28;28;29;3;44;44;,19;20;29;39;44;,
18;19;19;19;28;29;44;44;,29;44;44;,17;18;18;28;28;29;29;44;44;,18;26;26;26;28;28;29;3;4;44;,20;20;29;39;44;,
18;19;19;25;28;29;3;44;,31;44;44;,17;18;18;28;28;29;29;44;46;,1;18;18;18;18;28;28;29;3;44;,17;17;17;27;29;,
18;19;19;25;28;29;44;44;,39;44;44;,17;18;18;28;28;29;3;3;44;,1;18;18;18;26;28;28;29;3;44;,17;17;19;27;29;,
18;19;25;25;28;29;3;44;,18;27;3;3;,17;18;18;28;28;29;3;44;44;,1;18;18;26;26;28;28;29;3;44;,17;17;20;27;29;,
18;19;25;25;28;29;44;44;,18;27;3;44;,17;18;18;28;28;29;3;44;46;,1;18;26;26;26;28;28;29;3;44;,17;19;19;27;29;,
19;19;19;26;28;29;3;44;,18;27;3;46;,17;18;18;28;28;29;44;44;44;,3;44;,17;19;20;27;29;,
19;19;19;26;28;29;44;44;,27;27;3;3;,17;18;18;28;28;29;44;44;46;,18;28;29;3;44;,17;20;20;27;29;,
19;19;25;26;28;29;3;44;,27;27;3;44;,17;18;18;28;28;29;44;46;46;,17;44;,19;19;20;27;29;,
19;19;25;26;28;29;44;44;,27;27;3;46;,17;18;26;28;28;29;29;29;44;,19;44;,19;20;20;27;29;,
19;25;25;26;28;29;3;44;,27;3;31;44;,17;18;26;28;28;29;29;3;44;,22;44;,20;20;20;27;29;,
19;25;25;26;28;29;44;44;,27;3;31;46;,17;18;26;28;28;29;29;44;44;,25;44;,17;18;18;27;29;,
17;26;28;44;,27;3;34;44;,17;18;26;28;28;29;29;44;46;,26;44;,17;18;22;27;29;,
19;26;28;44;,27;3;34;46;,17;18;26;28;28;29;3;3;44;,17;18;28;29;44;,17;18;26;27;29;,
25;26;28;44;,27;3;3;31;,17;18;26;28;28;29;3;44;44;,18;18;28;29;44;,17;22;26;27;29;,
17;18;18;28;28;29;44;,27;3;3;34;,17;18;26;28;28;29;3;44;46;,18;19;28;29;44;,17;26;26;27;29;,
17;18;26;28;28;29;44;,27;3;3;8;,17;18;26;28;28;29;44;44;44;,18;20;28;29;44;,18;18;19;27;29;,
18;18;19;28;28;29;44;,27;3;44;8;,17;18;26;28;28;29;44;44;46;,18;26;28;29;44;,18;18;20;27;29;,
18;18;20;28;28;29;44;,27;3;46;8;,17;18;26;28;28;29;44;46;46;,17;17;19;19;20;27;29;44;44;,18;19;22;27;29;,
18;19;26;28;28;29;44;,17;27;27;28;29;29;3;41;44;5;,17;26;26;28;28;29;29;29;44;,17;17;17;18;18;19;28;28;29;29;44;44;,18;19;26;27;29;,
18;20;26;28;28;29;44;,17;27;3;5;,17;26;26;28;28;29;29;3;44;,18;18;18;29;3;3;44;,18;20;22;27;29;,
17;18;19;20;25;28;29;29;29;3;44;44;44;44;,17;27;27;27;29;3;41;41;44;5;,17;26;26;28;28;29;29;44;44;,18;18;18;29;3;44;44;,18;20;26;27;29;,
17;18;19;20;28;29;29;29;3;44;44;44;44;44;,17;26;27;27;29;31;41;41;44;5;,17;26;26;28;28;29;29;44;46;,18;18;18;29;3;4;44;,19;22;26;27;29;,
17;18;20;25;25;28;29;29;29;3;44;44;44;44;,17;26;5;,17;26;26;28;28;29;3;3;44;,18;18;26;29;3;3;44;,19;26;26;27;29;,
17;18;20;25;28;29;29;29;3;44;44;44;44;44;,17;18;26;27;27;29;39;41;41;44;5;,17;26;26;28;28;29;3;44;44;,18;18;26;29;3;44;44;,20;22;26;27;29;,
18;18;19;20;25;28;28;29;29;3;44;44;,17;18;26;36;5;,17;26;26;28;28;29;3;44;46;,18;18;26;29;3;4;44;,20;26;26;27;29;,
18;18;19;20;28;28;29;29;3;44;44;44;,17;17;27;27;27;3;3;44;5;5;,17;26;26;28;28;29;44;44;44;,18;26;26;29;3;3;44;,17;17;29;3;3;31;44;,
18;18;20;25;25;28;28;29;29;3;44;44;,17;17;27;27;29;3;3;44;5;5;,17;26;26;28;28;29;44;44;46;,18;26;26;29;3;44;44;,17;18;29;3;3;31;44;,
18;18;20;25;28;28;29;29;3;44;44;44;,19;31;8;,17;26;26;28;28;29;44;46;46;,18;26;26;29;3;4;44;,17;19;29;3;3;31;44;,
17;18;28;29;44;,39;44;,18;18;19;28;28;29;29;29;44;,1;18;18;18;29;3;44;,17;20;29;3;3;31;44;,
17;18;28;31;44;,18;19;19;25;26;44;,18;18;19;28;28;29;29;3;44;,1;18;18;26;29;3;44;,17;25;29;3;3;31;44;,
18;18;28;29;44;,18;19;19;22;25;27;27;29;41;41;44;44;,18;18;19;28;28;29;29;44;44;,1;18;26;26;29;3;44;,17;26;29;3;3;31;44;,
18;18;28;31;44;,17;17;27;27;3;,18;18;19;28;28;29;29;44;46;,1;26;26;26;29;3;44;,18;19;29;3;3;31;44;,
18;28;29;31;44;,17;17;27;3;3;,18;18;19;28;28;29;3;3;44;,26;26;26;29;3;3;44;,18;25;29;3;3;31;44;,
18;28;29;4;44;,17;18;27;27;3;,18;18;19;28;28;29;3;44;44;,26;26;26;29;3;44;44;,18;26;29;3;3;31;44;,
18;28;31;31;44;,17;18;27;3;3;,18;18;19;28;28;29;3;44;46;,26;26;26;29;3;4;44;,19;19;29;3;3;31;44;,
18;28;31;4;44;,17;17;27;27;29;29;3;41;,18;18;19;28;28;29;44;44;44;,18;22;27;29;41;44;,19;20;29;3;3;31;44;,
17;26;37;44;,17;17;27;29;29;3;3;41;,18;18;19;28;28;29;44;44;46;,18;18;19;28;28;29;44;,19;25;29;3;3;31;44;,
18;26;28;44;,17;18;27;27;29;29;3;41;,18;18;19;28;28;29;44;46;46;,18;22;25;44;,19;26;29;3;3;31;44;,
18;26;37;44;,17;18;27;29;29;3;3;41;,18;18;25;28;28;29;29;29;44;,18;19;20;25;28;29;29;44;44;,20;25;29;3;3;31;44;,
26;28;31;44;,18;18;19;19;25;26;27;28;,18;18;25;28;28;29;29;3;44;,17;26;28;29;44;44;,20;26;29;3;3;31;44;,
26;31;37;44;,18;18;19;19;25;26;27;27;28;29;29;41;41;44;,18;18;25;28;28;29;29;44;44;,18;26;26;28;28;28;29;44;44;,17;17;29;3;3;39;44;,
17;18;27;28;29;,17;18;18;18;18;19;25;25;29;34;37;37;44;,18;18;25;28;28;29;29;44;46;,18;22;27;29;29;41;,17;18;29;3;3;39;44;,
17;19;27;29;44;44;,17;17;18;18;18;19;19;25;27;28;29;29;31;31;39;41;44;44;44;44;44;,18;18;25;28;28;29;3;3;44;,18;22;28;28;3;44;,17;19;29;3;3;39;44;,
18;18;18;18;18;26;26;26;26;26;26;28;28;28;28;3;,18;18;18;19;25;26;26;29;,18;18;25;28;28;29;3;44;44;,18;22;28;28;44;44;,17;20;29;3;3;39;44;,
18;18;18;18;18;26;26;26;26;26;26;29;29;29;29;3;44;44;44;44;,18;18;19;25;26;26;26;27;27;29;29;41;41;44;,18;18;25;28;28;29;3;44;46;,18;26;28;28;3;44;,18;18;29;3;3;39;44;,
18;28;,18;18;18;18;19;25;25;26;26;29;44;,18;18;25;28;28;29;44;44;44;,18;26;28;28;44;44;,18;19;29;3;3;39;44;,
22;28;,18;18;18;18;19;19;25;26;26;26;27;27;29;29;29;41;41;44;44;,18;18;25;28;28;29;44;44;46;,22;22;28;28;3;44;,18;20;29;3;3;39;44;,
26;28;,17;17;18;19;19;20;25;25;26;27;,18;18;25;28;28;29;44;46;46;,22;22;28;28;44;44;,19;19;29;3;3;39;44;,
17;29;44;44;,18;18;19;19;19;25;25;26;26;27;27;27;29;41;41;44;,18;19;26;28;28;29;29;29;44;,22;26;28;28;3;44;,19;20;29;3;3;39;44;,
19;29;44;44;,17;17;18;19;28;29;44;,18;19;26;28;28;29;29;3;44;,22;26;28;28;44;44;,20;20;29;3;3;39;44;,
25;29;44;44;,17;18;22;26;27;28;41;,18;19;26;28;28;29;29;44;44;,26;26;28;28;3;44;,20;22;25;26;29;3;,
3;44;45;45;,17;17;17;18;19;28;29;31;44;8;,18;19;26;28;28;29;29;44;46;,26;26;28;28;44;44;,18;19;25;26;29;3;,
3;45;,11;17;17;17;18;19;27;28;31;44;,18;19;26;28;28;29;3;3;44;,17;18;28;29;3;44;,18;19;19;28;29;3;44;,
18;18;18;22;27;,18;28;29;29;3;44;47;,18;19;26;28;28;29;3;44;44;,17;18;28;29;44;44;,18;19;19;28;29;44;5;,
18;18;22;26;27;,18;28;29;29;44;46;47;,18;19;26;28;28;29;3;44;46;,17;26;28;29;3;44;,18;19;19;28;29;4;44;,
17;18;18;19;29;44;44;,18;28;29;34;44;46;47;,18;19;26;28;28;29;44;44;44;,18;19;28;29;3;44;,18;19;19;28;3;44;8;,
18;18;19;19;29;44;44;,18;28;29;3;34;44;47;,18;19;26;28;28;29;44;44;46;,18;19;28;29;44;44;,18;19;19;28;44;5;8;,
42;42;,18;28;29;3;3;44;47;,18;19;26;28;28;29;44;46;46;,18;20;28;29;3;44;,18;19;19;28;4;44;8;,
42;43;,18;28;29;3;44;44;47;,18;25;26;28;28;29;29;29;44;,18;20;28;29;44;44;,17;18;25;28;29;3;44;,
42;45;,18;28;29;3;44;46;47;,18;25;26;28;28;29;29;3;44;,19;26;28;29;3;44;,17;18;25;28;29;44;5;,
42;46;,18;28;29;44;44;46;47;,18;25;26;28;28;29;29;44;44;,19;26;28;29;44;44;,17;18;25;28;29;4;44;,
42;67;,18;28;29;44;46;46;47;,18;25;26;28;28;29;29;44;46;,20;26;28;29;3;44;,17;18;25;28;3;44;8;,
42;8;,26;28;29;29;3;44;47;,18;25;26;28;28;29;3;3;44;,20;26;28;29;44;44;,17;18;25;28;44;5;8;,
43;43;,26;28;29;29;44;46;47;,18;25;26;28;28;29;3;44;44;,18;18;28;28;3;3;44;,17;18;25;28;4;44;8;,
43;45;,26;28;29;34;44;46;47;,18;25;26;28;28;29;3;44;46;,18;18;28;28;3;44;44;,17;18;18;18;18;18;18;18;19;20;28;28;28;29;29;29;,
43;46;,26;28;29;3;34;44;47;,18;25;26;28;28;29;44;44;44;,18;18;28;3;37;44;44;,17;18;18;18;18;18;18;19;20;26;28;28;28;29;29;29;,
43;67;,26;28;29;3;3;44;47;,18;25;26;28;28;29;44;44;46;,18;18;28;3;3;37;44;,17;18;18;18;18;18;19;20;26;26;28;28;28;29;29;29;,
43;8;,26;28;29;3;44;44;47;,18;25;26;28;28;29;44;46;46;,18;22;28;28;3;3;44;,17;18;18;18;18;19;20;26;26;26;28;28;28;29;29;29;,
45;45;,26;28;29;3;44;46;47;,19;26;26;28;28;29;29;29;44;,18;22;28;28;3;44;44;,17;18;18;18;19;20;26;26;26;26;28;28;28;29;29;29;,
45;46;,26;28;29;44;44;46;47;,19;26;26;28;28;29;29;3;44;,18;22;28;3;37;44;44;,18;18;18;18;18;18;18;19;20;20;28;28;28;29;29;29;,
45;67;,26;28;29;44;46;46;47;,19;26;26;28;28;29;29;44;44;,18;22;28;3;3;37;44;,18;18;18;18;18;18;19;20;20;26;28;28;28;29;29;29;,
45;8;,18;27;28;29;3;44;80;,19;26;26;28;28;29;29;44;46;,18;26;28;28;3;3;44;,18;18;18;18;18;19;20;20;26;26;28;28;28;29;29;29;,
46;67;,18;27;28;29;44;46;80;,19;26;26;28;28;29;3;3;44;,18;26;28;28;3;44;44;,18;18;18;18;19;20;20;26;26;26;28;28;28;29;29;29;,
46;8;,18;27;28;34;44;46;80;,19;26;26;28;28;29;3;44;44;,18;26;28;3;37;44;44;,18;18;18;19;20;20;26;26;26;26;28;28;28;29;29;29;,
67;67;,18;27;28;3;34;44;80;,19;26;26;28;28;29;3;44;46;,18;26;28;3;3;37;44;,17;17;18;18;18;18;18;18;18;22;27;28;28;29;29;29;,
67;8;,18;27;28;3;3;44;80;,19;26;26;28;28;29;44;44;44;,1;18;18;28;28;3;44;,17;17;18;18;18;18;18;18;22;26;27;28;28;29;29;29;,
8;8;,18;27;28;3;44;44;80;,19;26;26;28;28;29;44;44;46;,1;18;18;28;3;37;44;,17;17;18;18;18;18;18;22;26;26;27;28;28;29;29;29;,
11;11;44;44;,18;27;28;3;44;46;80;,19;26;26;28;28;29;44;46;46;,1;18;22;28;28;3;44;,17;17;18;18;18;18;22;26;26;26;27;28;28;29;29;29;,
11;44;44;66;,18;27;28;44;44;46;80;,1;17;18;18;28;28;29;29;44;,1;18;22;28;3;37;44;,17;18;18;18;18;18;18;18;20;22;27;28;28;29;29;29;,
11;44;44;69;,18;27;28;44;46;46;80;,1;17;18;18;28;28;29;3;44;,1;18;26;28;28;3;44;,17;18;18;18;18;18;18;20;22;26;27;28;28;29;29;29;,
11;44;44;75;,26;27;28;29;3;44;80;,1;17;18;18;28;28;29;44;44;,1;18;26;28;3;37;44;,17;18;18;18;18;18;20;22;26;26;27;28;28;29;29;29;,
11;44;44;77;,26;27;28;29;44;46;80;,1;17;18;18;28;28;29;44;46;,1;22;26;28;28;3;44;,17;18;18;18;18;20;22;26;26;26;27;28;28;29;29;29;,
11;44;44;79;,26;27;28;34;44;46;80;,1;17;18;26;28;28;29;29;44;,1;22;26;28;3;37;44;,18;18;18;18;18;18;18;20;20;22;27;28;28;29;29;29;,
44;44;66;66;,26;27;28;3;34;44;80;,1;17;18;26;28;28;29;3;44;,1;26;26;28;28;3;44;,18;18;18;18;18;18;20;20;22;26;27;28;28;29;29;29;,
44;44;66;69;,26;27;28;3;3;44;80;,1;17;18;26;28;28;29;44;44;,1;26;26;28;3;37;44;,18;18;18;18;18;20;20;22;26;26;27;28;28;29;29;29;,
44;44;66;75;,26;27;28;3;44;44;80;,1;17;18;26;28;28;29;44;46;,22;26;28;28;3;3;44;,18;18;18;18;20;20;22;26;26;26;27;28;28;29;29;29;,
44;44;66;77;,26;27;28;3;44;46;80;,1;17;26;26;28;28;29;29;44;,22;26;28;28;3;44;44;,17;18;18;18;27;28;44;66;,
44;44;66;79;,26;27;28;44;44;46;80;,1;17;26;26;28;28;29;3;44;,22;26;28;3;37;44;44;,17;18;18;18;27;28;44;69;,
44;44;69;69;,26;27;28;44;46;46;80;,1;17;26;26;28;28;29;44;44;,22;26;28;3;3;37;44;,17;18;18;18;27;28;44;77;,
44;44;69;75;,18;18;19;19;19;25;25;26;26;44;,1;17;26;26;28;28;29;44;46;,26;26;28;28;3;3;44;,17;18;18;26;27;28;44;66;,
44;44;69;77;,17;17;18;19;19;20;25;25;26;27;27;29;41;41;,1;18;18;19;28;28;29;29;44;,26;26;28;28;3;44;44;,17;18;18;26;27;28;44;69;,
44;44;69;79;,17;19;20;22;25;25;26;26;26;44;,1;18;18;19;28;28;29;3;44;,26;26;28;3;37;44;44;,17;18;18;26;27;28;44;77;,
44;44;75;75;,17;18;28;39;44;44;44;,1;18;18;19;28;28;29;44;44;,26;26;28;3;3;37;44;,17;18;26;26;27;28;44;66;,
44;44;75;77;,17;18;28;39;44;44;46;,1;18;18;19;28;28;29;44;46;,17;18;28;29;3;3;44;,17;18;26;26;27;28;44;69;,
44;44;75;79;,17;18;28;39;44;46;46;,1;18;18;25;28;28;29;29;44;,17;18;28;29;3;44;44;,17;18;26;26;27;28;44;77;,
44;44;77;77;,17;18;28;3;39;44;44;,1;18;18;25;28;28;29;3;44;,17;18;29;3;37;44;44;,18;18;18;18;27;28;44;66;,
44;44;77;79;,17;18;28;3;39;44;46;,1;18;18;25;28;28;29;44;44;,17;18;29;3;3;37;44;,18;18;18;18;27;28;44;69;,
28;28;,17;18;28;3;3;39;44;,1;18;18;25;28;28;29;44;46;,17;26;28;29;3;3;44;,18;18;18;18;27;28;44;77;,
18;18;18;18;18;18;28;28;29;,17;18;28;3;3;40;44;,1;18;19;26;28;28;29;29;44;,17;26;28;29;3;44;44;,18;18;18;20;27;28;44;66;,
18;18;18;18;18;26;28;28;29;,17;18;28;3;40;44;44;,1;18;19;26;28;28;29;3;44;,17;26;29;3;37;44;44;,18;18;18;20;27;28;44;69;,
18;18;18;18;18;28;28;29;37;,17;18;28;3;40;44;46;,1;18;19;26;28;28;29;44;44;,17;26;29;3;3;37;44;,18;18;18;20;27;28;44;77;,
18;18;18;18;26;26;28;28;29;,17;18;28;40;44;44;44;,1;18;19;26;28;28;29;44;46;,18;19;28;29;3;3;44;,18;18;18;26;27;28;44;66;,
18;18;18;18;26;28;28;29;37;,17;18;28;40;44;44;46;,1;18;25;26;28;28;29;29;44;,18;19;28;29;3;44;44;,18;18;18;26;27;28;44;69;,
18;18;18;18;28;28;29;37;37;,17;18;28;40;44;46;46;,1;18;25;26;28;28;29;3;44;,18;19;29;3;37;44;44;,18;18;18;26;27;28;44;77;,
18;18;18;26;26;26;28;28;29;,17;26;28;39;44;44;44;,1;18;25;26;28;28;29;44;44;,18;19;29;3;3;37;44;,18;18;20;26;27;28;44;66;,
18;18;18;26;26;28;28;29;37;,17;26;28;39;44;44;46;,1;18;25;26;28;28;29;44;46;,18;20;28;29;3;3;44;,18;18;20;26;27;28;44;69;,
18;18;18;26;28;28;29;37;37;,17;26;28;39;44;46;46;,1;19;26;26;28;28;29;29;44;,18;20;28;29;3;44;44;,18;18;20;26;27;28;44;77;,
18;18;18;28;28;29;37;37;37;,17;26;28;3;39;44;44;,1;19;26;26;28;28;29;3;44;,18;20;29;3;37;44;44;,18;18;26;26;27;28;44;66;,
18;18;26;26;26;26;28;28;29;,17;26;28;3;39;44;46;,1;19;26;26;28;28;29;44;44;,18;20;29;3;3;37;44;,18;18;26;26;27;28;44;69;,
18;18;26;26;26;28;28;29;37;,17;26;28;3;3;39;44;,1;19;26;26;28;28;29;44;46;,19;26;28;29;3;3;44;,18;18;26;26;27;28;44;77;,
18;18;26;26;28;28;29;37;37;,17;26;28;3;3;40;44;,1;1;17;18;18;28;28;29;44;,19;26;28;29;3;44;44;,18;20;26;26;27;28;44;66;,
18;18;26;28;28;29;37;37;37;,17;26;28;3;40;44;44;,1;1;17;18;26;28;28;29;44;,19;26;29;3;37;44;44;,18;20;26;26;27;28;44;69;,
18;18;28;28;29;37;37;37;37;,17;26;28;3;40;44;46;,1;1;17;26;26;28;28;29;44;,19;26;29;3;3;37;44;,18;20;26;26;27;28;44;77;,
18;26;26;26;26;26;28;28;29;,17;26;28;40;44;44;44;,1;1;18;18;19;28;28;29;44;,1;17;18;28;29;3;44;,17;18;18;18;28;29;42;44;,
18;26;26;26;26;28;28;29;37;,17;26;28;40;44;44;46;,1;1;18;18;25;28;28;29;44;,1;17;18;29;3;37;44;,17;18;18;18;28;29;43;44;,
