EC1,EC2,EC3,EC4,EC5,EC6
22;28;4;44;,25;5;,18;20;26;27;28;43;,17;18;26;28;28;29;4;44;,18;19;26;26;28;44;,18;18;28;28;34;39;
22;28;4;46;,18;18;18;18;19;25;31;37;44;44;,18;20;26;27;28;67;,18;18;19;28;28;29;3;44;,18;25;26;26;28;44;,18;26;31;31;44;
22;28;4;4;,17;18;18;19;26;34;34;44;44;,18;18;18;26;28;28;29;29;44;9;,18;18;19;28;28;29;44;44;,19;26;26;26;28;44;,18;26;31;34;44;
22;28;4;58;,26;3;3;31;31;44;44;,18;18;26;26;28;28;29;29;44;9;,18;18;19;28;28;29;4;44;,25;26;26;26;28;44;,18;26;31;39;44;
22;28;58;58;,26;3;3;3;31;31;44;,18;20;27;28;28;3;7;,18;18;20;28;28;29;3;44;,17;18;18;22;28;44;,18;26;34;39;44;
26;28;3;3;,26;3;3;34;39;44;44;,18;28;29;,18;18;20;28;28;29;44;44;,17;18;22;26;28;44;,18;26;39;39;44;
26;28;3;44;,26;3;3;3;34;39;44;,18;28;8;,18;18;20;28;28;29;4;44;,17;22;26;26;28;44;,18;28;31;31;44;
26;28;3;46;,17;18;31;,25;3;44;,18;19;26;28;28;29;3;44;,18;18;19;22;28;44;,18;28;31;34;44;
26;28;3;4;,18;19;31;,25;44;44;,18;19;26;28;28;29;44;44;,18;19;22;26;28;44;,18;28;31;39;44;
26;28;3;58;,18;20;31;,29;3;44;,18;19;26;28;28;29;4;44;,19;22;26;26;28;44;,18;28;34;39;44;
26;28;44;44;,17;39;44;,29;44;44;,18;20;26;28;28;29;3;44;,17;17;18;18;44;,18;28;39;39;44;
26;28;44;46;,19;39;44;,19;27;28;29;3;41;,18;20;26;28;28;29;44;44;,17;17;18;22;44;,17;18;31;36;
26;28;44;58;,20;39;44;,19;27;28;29;41;44;,18;20;26;28;28;29;4;44;,17;17;18;26;44;,17;18;28;39;39;44;44;
26;28;46;46;,18;18;28;29;29;3;3;44;,19;28;29;29;3;41;,1;17;18;18;28;28;29;44;,17;17;22;26;44;,17;18;18;18;31;37;
26;28;46;58;,18;18;28;29;29;3;44;44;,19;28;29;29;41;44;,1;17;18;26;28;28;29;44;,17;18;18;19;44;,17;18;18;18;28;31;39;44;44;
26;28;4;44;,18;18;28;28;29;29;3;3;3;44;,27;27;28;29;3;41;,1;18;18;19;28;28;29;44;,17;18;18;20;44;,18;18;19;28;28;29;3;39;
26;28;4;46;,18;18;28;28;29;29;3;3;44;44;,27;27;28;29;41;44;,1;18;18;20;28;28;29;44;,17;18;18;25;44;,18;18;27;28;28;29;29;3;39;41;
26;28;4;4;,17;26;27;28;29;29;29;3;3;3;44;44;,27;28;29;29;3;41;,1;18;19;26;28;28;29;44;,17;18;18;44;44;,18;18;28;28;29;29;3;39;44;
26;28;4;58;,17;17;17;17;18;26;28;28;29;29;29;44;44;,27;28;29;29;41;44;,1;18;20;26;28;28;29;44;,17;18;19;22;44;,18;3;31;36;
26;28;58;58;,1;28;29;3;3;3;3;3;3;44;44;5;,27;28;29;29;29;3;3;41;44;,17;39;44;44;44;,17;18;19;26;44;,18;28;3;31;
17;29;3;3;44;44;,17;17;17;17;17;17;18;27;28;29;29;44;,27;28;29;29;29;3;41;41;44;,17;39;44;44;5;,17;18;20;22;44;,18;18;19;28;3;
17;29;3;44;44;44;,17;17;17;17;17;18;26;28;28;29;29;44;,27;28;29;29;29;3;41;44;46;,17;39;44;5;5;,17;18;20;26;44;,18;18;19;28;44;
17;29;3;44;44;46;,17;17;17;17;18;26;28;28;29;29;44;44;,27;28;29;29;29;41;41;44;46;,17;3;39;44;44;,17;18;22;25;44;,18;18;19;28;8;
17;29;3;44;44;58;,17;17;17;17;26;26;28;28;29;29;44;44;,27;28;29;29;29;41;44;46;46;,17;3;39;44;5;,17;18;22;44;44;,18;19;26;28;3;
17;29;3;4;44;44;,17;17;17;18;19;26;28;28;29;29;44;44;,27;27;28;29;3;3;41;,17;3;3;39;44;,17;18;25;26;44;,18;19;26;28;44;
17;29;44;44;44;44;,17;17;17;19;26;26;28;28;29;29;44;44;,27;27;28;29;3;41;41;,17;3;3;40;44;,17;18;26;44;44;,18;19;26;28;8;
17;29;44;44;44;46;,17;17;17;17;17;26;27;28;29;29;44;44;,27;27;28;29;3;41;46;,17;3;40;44;44;,17;19;22;26;44;,18;25;28;3;44;
17;29;44;44;44;58;,17;17;17;17;19;26;27;28;29;29;44;44;,27;27;28;29;41;41;46;,17;3;40;44;5;,17;20;22;26;44;,18;25;28;44;44;
17;29;44;44;46;46;,17;17;17;17;20;26;27;28;29;29;44;44;,27;27;28;29;41;46;46;,17;40;44;44;44;,17;22;25;26;44;,18;25;28;44;8;
17;29;44;44;46;58;,17;17;17;19;20;26;27;28;29;29;44;44;,29;29;3;44;7;,17;40;44;44;5;,17;22;26;44;44;,17;18;18;18;18;28;3;
